% Model,Mie_box_glass.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 16 2022, 00:50"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.023473949905947717,1.1287542297198425,1.1522281796257903
410,0.021508543562753668,1.1062426794436224,1.127751223006376
419.99999999999994,0.019623480421173012,1.080795934552054,1.100419414973227
429.99999999999994,0.01783270254976199,1.0562952543861506,1.0741279569359126
439.99999999999994,0.016490256706453585,1.0479552522876192,1.0644455089940728
450,0.015336498521891851,1.0461979149738903,1.061534413495782
460,0.013983984854191393,1.0340429107971068,1.0480268956512981
470,0.012788233491723719,1.024240390268724,1.0370286237604478
480,0.012240383995675683,1.0421627173318637,1.0544031013275394
490,0.012752243039484266,1.1089391937445794,1.1216914367840636
500,0.015255384306458852,1.2561312833094211,1.27138666761588
509.99999999999994,0.021483288429425706,1.5256666687255644,1.54714995715499
512.5,0.023840334122532888,1.6137440339932385,1.6375843681157713
515,0.02654661360370454,1.7086375848982365,1.735184198501941
517.5,0.029632410781109092,1.8080518512695445,1.8376842620506535
519.9999999999999,0.03291311284898892,1.9088244745051937,1.9417375873541827
522.5,0.0363833628263784,2.005668500798683,2.0420518636250615
525,0.03990331378915155,2.093598266333996,2.133501580123147
527.5,0.04324632323904217,2.1676315988618438,2.210877922100886
530,0.04631973160427975,2.2244782159854655,2.2707979475897453
532.4999999999999,0.04902461810486501,2.260825685141569,2.3098503032464337
535,0.05123981007555467,2.2755580371877264,2.326797847263281
537.5,0.05285141723872409,2.267914616046879,2.320766033285603
540,0.05398794107181825,2.2392019831866783,2.2931899242584963
542.4999999999999,0.054570423683753845,2.1922692059895987,2.2468396296733526
545,0.054668956567229136,2.129565044021691,2.18423400058892
547.5,0.05422958273938567,2.0544026380671974,2.108632220806583
550,0.053637756634076626,1.96988771705769,2.0235254736917665
560,0.04875310282621412,1.5846082672455528,1.6333613700717668
570,0.04186610120529417,1.1960841767551713,1.2379502779604654
580,0.03457559681982432,0.8708959232459281,0.9054715200657525
590,0.028057251044229927,0.6299205827255039,0.6579778337697338
600,0.02277461829436231,0.4629197057786897,0.485694324073052
