% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 22 2022, 22:28"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),incident wavelength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,400,0.005239864262751566,0.4201413523989748,0.4253812166617264
410,410,0.004853804685595719,0.41533415956964465,0.42018796425524035
419.99999999999994,419.99999999999994,0.004432346255573983,0.4046179157192985,0.4090502619748725
429.99999999999994,429.99999999999994,0.003990906339652182,0.3962436644195969,0.40023457075924906
439.99999999999994,439.99999999999994,0.0037503069013401606,0.3950459753173174,0.39879628221865754
450,450,0.00348109005889117,0.3979900823173391,0.4014711723762303
460,460,0.00312782918141144,0.4006508929255421,0.40377872210695354
470,470,0.0029320371454635433,0.40608731427887373,0.40901935142433726
480,480,0.0028073119987303066,0.4217492145260123,0.4245565265247426
490,490,0.0028435550961000756,0.45221496544353545,0.4550585205396355
500,500,0.0031686333063996705,0.4937770727537112,0.49694570606011085
501,501,0.0031827490047876272,0.49679140947192924,0.4999741584767169
501.99999999999994,501.99999999999994,0.0032117664353654126,0.5001892500910647,0.5034010165264301
502.99999999999994,502.99999999999994,0.0032874335321650613,0.5040577931844231,0.5073452267165882
504,504,0.003344006071094842,0.5067946947541906,0.5101387008252855
505,505,0.0034006620764518076,0.5094327639077633,0.5128334259842151
505.99999999999994,505.99999999999994,0.0034352900172936927,0.5120607828803057,0.5154960728975994
507,507,0.0035840167869126372,0.5136020877533797,0.5171861045402923
508,508,0.003608011120536952,0.5148607309327277,0.5184687420532647
508.99999999999994,508.99999999999994,0.0036807961941826904,0.5149219786055828,0.5186027747997655
509.99999999999994,509.99999999999994,0.003752643522388667,0.5148192870449322,0.5185719305673209
511,511,0.0038074338942472824,0.5132944751520705,0.5171019090463178
511.99999999999994,511.99999999999994,0.0038151439841592346,0.5118081769126915,0.5156233208968508
512.9999999999999,512.9999999999999,0.00394052629138259,0.5094124158534232,0.5133529421448059
514,514,0.004039007668887117,0.5063641144607929,0.51040312212968
515,515,0.004052534283987088,0.502172000931059,0.5062245352150461
516,516,0.004138345126684282,0.4975203033389789,0.5016586484656632
516.9999999999999,516.9999999999999,0.004108416376909817,0.49171443602867737,0.4958228524055872
518,518,0.004224611290532951,0.4855785377746171,0.4898031490651501
519,519,0.004174742110728071,0.478046707046674,0.48222144915740206
519.9999999999999,519.9999999999999,0.004156465582104308,0.4698209926675963,0.4739774582497006
530,530,0.004208684826123954,0.376875080290213,0.38108376511633696
540,540,0.003903445671219731,0.2879978290165813,0.291901274687801
550,550,0.0035074068664822013,0.22027377507927054,0.22378118194575275
560,560,0.0031043719958010925,0.168482163329414,0.1715865353252151
570,570,0.0027497843843925056,0.12866512256099993,0.13141490694539243
580,580,0.002553379725228327,0.0986277871626314,0.10118116688785973
590,590,0.0024488598331937114,0.07628984703770621,0.07873870687089991
600,600,0.002152669066444384,0.061366086234153946,0.06351875530059833
