% Model,Mie_chafa.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 22 2022, 13:35"
% Table,"Table 1 - Global Evaluation 1 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (nm),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
400,400,0.005447356609233303,0.4274821253708445,0.43292948198007786
410,410,0.005128892068607831,0.4171214927481063,0.4222503848167141
419.99999999999994,419.99999999999994,0.004644023760025044,0.40331918344872275,0.4079632072087478
429.99999999999994,429.99999999999994,0.004158280118433867,0.3981935688470716,0.40235184896550547
439.99999999999994,439.99999999999994,0.0038864814766303526,0.39661402040134647,0.4005005018779768
450,450,0.00351563156611363,0.4006928036214419,0.4042084351875555
460,460,0.003267757166656111,0.40128989977815127,0.4045576569448074
470,470,0.00294329078806255,0.40731472483196135,0.4102580156200239
480,480,0.0028564861580955172,0.42345135618526214,0.4263078423433576
490,490,0.0029148364763645477,0.45148975316730644,0.45440458964367103
500,500,0.003166325681566696,0.49375855429786236,0.496924879979429
501,501,0.003184384780366109,0.4967948607726673,0.49997924555303347
501.99999999999994,501.99999999999994,0.003265551935264618,0.49977342252743173,0.5030389744626963
502.99999999999994,502.99999999999994,0.003394758643580477,0.5030647967582573,0.5064595554018378
504,504,0.0034165920216558334,0.5078090834306259,0.5112256754522817
505,505,0.0034318321866181425,0.5085875989066752,0.5120194310932933
505.99999999999994,505.99999999999994,0.003557110852438892,0.5137118876592162,0.5172689985116551
507,507,0.00362567453783643,0.5137889731667303,0.5174146477045667
508,508,0.0036675666267018494,0.5173781725304488,0.5210457391571508
508.99999999999994,508.99999999999994,0.003743365793423035,0.5148606205206355,0.5186039863140586
509.99999999999994,509.99999999999994,0.003742958236746837,0.5134470666222756,0.5171900248590224
511,511,0.003902987976964776,0.5097033308189346,0.5136063187958994
511.99999999999994,511.99999999999994,0.003843188441768158,0.5133085637849728,0.5171517522267409
512.9999999999999,512.9999999999999,0.003866119069165743,0.5101220242763458,0.5139881433455115
514,514,0.003925746894755019,0.5000012197943109,0.5039269666890659
515,515,0.004001884134262618,0.49742940668790353,0.5014312908221662
516,516,0.004097784047580657,0.49564405088081404,0.4997418349283947
516.9999999999999,516.9999999999999,0.004141001920704466,0.49097415221330765,0.495115154134012
518,518,0.004122173233193805,0.4873497922388063,0.49147196547200017
519,519,0.004202368479950127,0.47756579194674176,0.48176816042669185
519.9999999999999,519.9999999999999,0.0041270949409265975,0.4737906363649488,0.47791773130587545
530,530,0.0038295992438736478,0.3745340007494177,0.37836359999329133
540,540,0.0036449586710745035,0.28412608166694014,0.2877710403380147
550,550,0.0032533001289877703,0.21887773632847426,0.22213103645746204
560,560,0.0027687288890155433,0.16956511860144993,0.17233384749046549
570,570,0.0023560145356422034,0.12919406437859612,0.13155007891423834
580,580,0.002131365298148908,0.0993713724360891,0.101502737734238
590,590,0.0017307261875531468,0.07709978083751222,0.07883050702506537
600,600,0.0018286301717212745,0.06128327910995995,0.06311190928168121
