% Model,Mie_box_Air.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 14 2022, 18:54"
% Table,"Table 2 - Global Evaluation 2 (Q_sca, Q_abs, Q_ext)"
% fact,wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
0.1,522,0.004186971831442285,0.45367942608673834,0.4578663979181806
0.15000000000000002,522,0.004248777691125632,0.45352026444352167,0.4577690421346473
0.2,522,0.00432132690341848,0.45088772029300245,0.4552090471964209
0.25,522,0.004219819849905111,0.45417542040655595,0.45839524025646106
0.30000000000000004,522,0.0042895475260853735,0.4536477716169237,0.45793731914300906
0.35,522,0.004369078793970922,0.4537287804581674,0.4580978592521383
0.4,522,0.004182742289491313,0.45322553139590427,0.4574082736853956
0.45000000000000007,522,0.00427356932864837,0.45425083119297144,0.4585244005216198
0.5,522,0.004371614512924469,0.45559175544693903,0.4599633699598635
0.55,522,0.004251985447546103,0.4538146399638414,0.45806662541138754
0.6,522,0.004324046907382712,0.4535809126445388,0.4579049595519215
0.65,522,0.004321357355319316,0.45332057264837317,0.45764193000369247
0.7000000000000001,522,0.004241315439849706,0.4536516504820328,0.4578929659218825
0.75,522,0.004253110830149788,0.4529989451900665,0.4572520560202163
0.8,522,0.004385711867527967,0.45291122743302553,0.4572969393005535
0.85,522,0.00422546718294463,0.45378809296311196,0.4580135601460566
0.9,522,0.004236789247780769,0.45571742041440416,0.4599542096621849
0.9500000000000001,522,0.0043477055197988085,0.45472137621976305,0.45906908173956185
1,522,0.0041894390060282964,0.45331196260247325,0.45750140160850156
