% Model,NP_Substrate_analyticFresnel_Internal.mph,,,,
% Version,COMSOL 5.4.0.225,,,,
% Date,"May 28 2021, 13:21",,,,
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,
% theta_i (m),wlength (m),Q_abs (1) theta_i = 15,Q_abs (1) theta_i = 38,Q_abs (1) theta_i = 42,Q_abs (1) theta_i = 80
15,500,0.431260431335325,0.497713546293691,2.55156446975632,0.205135693380762
15,510,0.460535895799453,0.54091024829787,2.7815443853741,0.224440221710269
15,520,0.433786427012098,0.523193213352292,2.70126596973651,0.21844201199165
15,530,0.353989406234386,0.435674032137201,2.25603592509157,0.18279507931594
15,540,0.271945970021764,0.337305287277741,1.74799441414444,0.141963054771333
15,550,0.207407051654031,0.25741892857558,1.33413960415162,0.10866934033986
15,560,0.158035131980323,0.195813269353677,1.01424627418451,0.08287461869524
15,570,0.120105421929174,0.148466381154501,0.768325091767357,0.062938750156009
15,580,0.091585033552045,0.112828401406147,0.583343192697819,0.04792579265513
15,590,0.070852443352974,0.086973395395609,0.449160266837525,0.037004554258685
15,600,0.055934991171948,0.068437258899151,0.352994337858414,0.029158078532062
