% Model,Mie_box_Glass.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 15 2022, 11:02"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% fact,wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
0.1,535,0.0518349109161292,2.2985928004174654,2.3504277113335945
0.15000000000000002,535,0.051577218304089394,2.2995117324727046,2.351088950776794
0.2,535,0.05143011653648041,2.2949339305461867,2.346364047082667
0.25,535,0.051493122272826077,2.297106278421929,2.348599400694755
0.30000000000000004,535,0.05156842027826276,2.2972146851557724,2.3487831054340353
0.35,535,0.05194392289702341,2.291053462104445,2.3429973850014685
0.4,535,0.05150336352859405,2.297815431526327,2.3493187950549212
0.45000000000000007,535,0.05129434307213647,2.2985146419149785,2.349808984987115
0.5,535,0.051506180993151414,2.3029174342119583,2.3544236152051097
0.55,535,0.051017462910547054,2.2988941866384307,2.349911649548978
0.6,535,0.05173290379859961,2.298400246435693,2.3501331502342926
0.65,535,0.05106481174272034,2.2968044151857776,2.347869226928498
0.7000000000000001,535,0.05254270552178124,2.2864919489533255,2.339034654475107
0.75,535,0.05196576082800342,2.2959102394963447,2.347876000324348
0.8,535,0.05125514083050629,2.2975786961930513,2.3488338370235575
0.85,535,0.0518655265257853,2.29798174838393,2.3498472749097155
0.9,535,0.05148023729077341,2.2978207005037987,2.349300937794572
0.9500000000000001,535,0.05140085502492188,2.2947691511169377,2.3461700061418598
1,535,0.05109479088147003,2.294133770755809,2.345228561637279
