% Model,NP_OverSubstrate_VariableSystemSize.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 21 2021, 14:52"
% Table,"Table 2 - Global Evaluation 2 (sigma_abs/(pi*radius_NP^2), sigma_sc/(pi*radius_NP^2), sigma_ext/(pi*radius_NP^2))"
% lambda (m),lambda0 (nm),sigma_abs/(pi*radius_NP^2) (1),sigma_sc/(pi*radius_NP^2) (1),sigma_ext/(pi*radius_NP^2) (1)
4.0000000000000003E-7,400,0.3223735267257394,0.006931572314692083,0.3293050990404315
4.1000000000000004E-7,410,0.3158817922632653,0.005318892848893256,0.3212006851121586
4.2000000000000006E-7,420,0.3063044893814398,0.006538868613952671,0.3128433579953925
4.3E-7,429.99999999999994,0.30144415500113597,0.004618522357893423,0.30606267735902937
4.4E-7,439.99999999999994,0.2988681328773606,0.006649146439604217,0.3055172793169648
4.5000000000000003E-7,450,0.3037102768936656,0.004744317682138638,0.3084545945758042
4.6000000000000004E-7,460,0.3058684830406882,0.005290869236084082,0.31115935227677227
4.7000000000000005E-7,470,0.31143212850769053,0.004547482537060187,0.3159796110447507
4.800000000000001E-7,480,0.3244093944123681,0.006167324009200398,0.33057671842156855
4.900000000000001E-7,490,0.35315586945710803,0.007291295781806708,0.36044716523891474
5.000000000000001E-7,500,0.39321945477226744,0.006331014902367656,0.3995504696746351
5.1E-7,509.99999999999994,0.4192228070681009,0.007638585174434286,0.42686139224253516
5.200000000000001E-7,520,0.3758017779312249,0.008183982419107077,0.383985760350332
5.3E-7,530,0.2938113634479549,0.006341765350993422,0.30015312879894834
5.4E-7,540,0.2102583755666811,0.006590510102781067,0.21684888566946214
5.5E-7,550,0.1496396115665126,0.004541037187792314,0.1541806487543049
5.6E-7,560,0.10803580532196899,0.0037272645448344485,0.11176306986680344
5.7E-7,570,0.07880380425981005,0.002175359239308985,0.08097916349911904
5.800000000000001E-7,580,0.058082920657577315,0.0024445751139342566,0.06052749577151157
5.900000000000001E-7,590,0.04354463898570278,0.0025140675889928415,0.04605870657469562
6.0E-7,599.9999999999999,0.03306606768765541,0.0018481980946412986,0.034914265782296706
6.100000000000001E-7,610,0.025712781145582342,0.0016665295631451116,0.027379310708727456
6.2E-7,619.9999999999999,0.0202762811429846,7.661509790754494E-4,0.02104243212206005
6.3E-7,629.9999999999999,0.01588982855735097,0.0019534854700488714,0.01784331402739984
6.4E-7,639.9999999999999,0.012539631448439068,0.0015479574456954434,0.014087588894134511
6.5E-7,650,0.010107329196081297,4.6667467453451064E-4,0.010574003870615809
6.6E-7,660,0.008533582590745468,3.5165256578260587E-4,0.008885235156528073
6.7E-7,670,0.0074883810844339396,9.853740793730793E-4,0.00847375516380702
6.800000000000001E-7,680,0.006662839185649826,4.2792832219486313E-4,0.007090767507844689
6.900000000000001E-7,690,0.0059698530802095254,6.202087757694732E-4,0.006590061855978998
7.000000000000001E-7,700,0.005366863079964995,0.0012841269933222955,0.00665099007328729
7.1E-7,709.9999999999999,0.004911944483460142,0.0012905148007147488,0.006202459284174891
7.200000000000001E-7,720,0.004573875845427923,6.841373481751718E-4,0.005258013193603094
7.3E-7,729.9999999999999,0.004260946384882873,9.840450372222667E-4,0.00524499142210514
7.400000000000001E-7,740,0.0040022047890014316,9.156441044582307E-4,0.004917848893459662
7.5E-7,749.9999999999999,0.003794602424323436,0.0010929551493150961,0.0048875575736385315
7.6E-7,759.9999999999999,0.0036007117126681336,4.8645809252899575E-4,0.004087169805197129
7.7E-7,770,0.00339123376267804,7.058217366979688E-4,0.004097055499376008
7.8E-7,780,0.003255830674581723,4.085331081764782E-4,0.0036643637827582015
7.900000000000001E-7,790,0.0031036949780984847,2.1493106698676397E-4,0.0033186260450852488
8.0E-7,799.9999999999999,0.0029666244353097693,3.9329116575562606E-4,0.003359915601065395
