% Model,NP_Substrate_analyticFresnel_Incrusted.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.4.0.225,,,,,,,,,,,,,,
% Date,"Jun 2 2021, 23:43",,,,,,,,,,,,,,
% Table,"Table 9 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,,,,,,,,,,,
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1),"h_sphere=6.25E-9, Q_sca (1)","h_sphere=6.25E-9, Q_abs (1)","h_sphere=6.25E-9, Q_ext (1)","h_sphere=0, Q_sca (1)","h_sphere=0, Q_abs (1)","h_sphere=0, Q_ext (1)","h_sphere=-6.25E-9, Q_sca (1)","h_sphere=-6.25E-9, Q_abs (1)","h_sphere=-6.25E-9, Q_ext (1)",Q_sca (1),Q_abs (1),Q_ext (1)
450,0.013644247716509,0.958697511004399,0.972341758720908,0.00357599746354,0.378570268266379,0.382146265729919,0.003557173829734,0.378541951111594,0.382099124941328,0.003534502059869,0.378546947937344,0.382081449997213,0.004164992448867,0.421019941497201,0.425184933946068
460,0.012466501566945,0.949762491949182,0.962228993516127,0.00329201970897,0.381027166263928,0.384319185972898,0.003275195413654,0.38091538986818,0.384190585281834,0.003256663351078,0.380971123409736,0.384227786760814,0.003840623716749,0.423289912450266,0.427130536167015
470,0.011420361758701,0.943558837651777,0.954979199410478,0.003044776286196,0.385896055494945,0.38894083178114,0.003030084284181,0.385860322110966,0.388890406395147,0.003012481878365,0.385853054794636,0.388865536673001,0.003557125569302,0.428359397088113,0.431916522657414
480,0.010951340705054,0.963858707942003,0.974810048647057,0.002910725897912,0.400938075819547,0.403848801717458,0.002896290769208,0.400895186064879,0.403791476834087,0.00287948732031,0.400938532864778,0.403818020185088,0.003408681210621,0.44512510475308,0.448533785963701
490,0.011464875741644,1.03050330392675,1.04196817966839,0.002952485469661,0.429779581215944,0.432732066685605,0.002938709246484,0.429699798234185,0.432638507480668,0.002922033349351,0.42974022425282,0.43266225760217,0.00347431315238,0.478596014360976,0.482070327513356
500,0.013756270119181,1.17239478338177,1.18615105350095,0.00325587615932,0.468070451223172,0.471326327382492,0.003239208992351,0.467985320233276,0.471224529225627,0.003223798581865,0.46802555117297,0.471249349754834,0.003873870144065,0.526353278500294,0.530227148644358
510,0.01931316773422,1.42319962425846,1.44251279199268,0.003805588682864,0.487733220647738,0.491538809330602,0.003788816371875,0.487590260824479,0.491379077196354,0.00376788802985,0.487655601426246,0.491423489456096,0.004633646259527,0.560159998638729,0.564793644898255
520,0.029070759355914,1.75256115180997,1.78163191116588,0.00421687224225,0.444677272597918,0.448894144840168,0.004198171154345,0.444538028628282,0.448736199782627,0.004176542338446,0.444625306652717,0.448801848991163,0.005281904547035,0.524817689057441,0.530099593604476
530,0.039187166901825,1.96260040453379,2.00178757143561,0.004107668946954,0.355355031102994,0.359462700049947,0.004090143725919,0.355256100279873,0.359346244005792,0.004069030421558,0.35527850303425,0.359347533455808,0.005240855310048,0.426583477348918,0.431824332658966
540,0.043238618647787,1.87785072948103,1.92108934812882,0.003693686283863,0.271546268455178,0.275239954739041,0.003677852090271,0.271533038389535,0.275210890479805,0.003660866673975,0.271538950839146,0.27519981751312,0.004739118424649,0.327307730154369,0.332046848579018
550,0.041105717820154,1.58603977625784,1.627145494078,0.003243075587655,0.207800803572318,0.211043879159973,0.003230106251627,0.207694626551502,0.21092473280313,0.0032136963611,0.207775093104426,0.210988789465526,0.004161904014185,0.249885010031343,0.254046914045528
560,0.036388469019402,1.24518259663373,1.28157106565313,0.002849385943271,0.159106366877311,0.161955752820582,0.002836339664426,0.159004343132899,0.161840682797325,0.002825639800812,0.159088151610402,0.161913791411214,0.00364976100662,0.190633917157501,0.194283678164121
570,0.030857108205442,0.931501928975652,0.962359037181094,0.00250998169237,0.121592393666766,0.124102375359136,0.002497663610222,0.121556771253619,0.124054434863841,0.002487921369828,0.121576794520902,0.124064715890731,0.003209050117162,0.145119992519164,0.148329042636326
580,0.025446565624439,0.678840396827676,0.704286962452115,0.002215536903831,0.093355410650888,0.09557094755472,0.002203123266082,0.093325751096958,0.09552887436304,0.002194738312924,0.093338592438706,0.095533330751631,0.002817283333766,0.110845581548527,0.113662864882294
590,0.020744412627452,0.494629865685393,0.515374278312845,0.001957224045812,0.072745259114486,0.074702483160298,0.001949402731067,0.072698442976692,0.074647845707759,0.001940958489163,0.072729235583322,0.074670194072485,0.002484865992449,0.085904428064484,0.088389294056933
600,0.0169702150484,0.367130797221226,0.384101012269626,0.001738093608242,0.057810747086697,0.059548840694939,0.001730813365266,0.05777502342937,0.059505836794635,0.001724432634482,0.057807720519796,0.059532153154277,0.002195918405146,0.067942570747014,0.07013848915216
